question,option_1,option_2,option_3,option_4,answer,difficulty,type
A client asks for a commitment that your team may not be able to meet. What is the best response?,Promise the date and manage internally later,Avoid answering until the client forgets the issue,"Acknowledge the request, validate internally, and return with a realistic commitment",Reject the request immediately,"Acknowledge the request, validate internally, and return with a realistic commitment",hard,aptitude
You find a small but visible error in a report just after sending it. The conclusion remains unchanged. What should you do?,Ignore it since the conclusion is still correct,Send a corrected version with a brief note,Wait to see if anyone notices it,Explain later that formatting caused the issue,Send a corrected version with a brief note,hard,aptitude
A teammate who usually performs well misses a deadline and seems stressed. Your work depends on theirs. What is the best next step?,Escalate immediately before speaking to them,Take over all their work without discussion,"Check the blocker, align on recovery steps, and escalate only if needed",Publicly remind them in the team chat,"Check the blocker, align on recovery steps, and escalate only if needed",hard,aptitude
"During a discussion, a senior asks for your opinion, but everyone else already supports a different view. What should you do?",Agree with the majority to avoid risk,"State your view respectfully with reasons, then support the final decision",Stay silent because disagreement looks negative,Oppose the group strongly to prove independence,"State your view respectfully with reasons, then support the final decision",hard,aptitude
"You are unsure whether a client request is ethical, though it is not clearly illegal. What should you do?",Do it because the client is important,Pause and seek guidance under policy before acting,Do only part of it so the risk is smaller,Promise action now and decide later,Pause and seek guidance under policy before acting,hard,aptitude
"A recurring issue affects customers, but a full fix will take time. What is the best immediate response?",Wait until the full fix is ready before speaking,Provide an interim workaround or mitigation while pursuing the root fix,Downplay the issue so customers stay calm,Announce that the issue has already been solved,Provide an interim workaround or mitigation while pursuing the root fix,hard,aptitude
A teammate asks you to support a statement in a meeting that you know is only partly true. What should you do?,Support it because loyalty matters more,Stay factual and avoid endorsing what you cannot verify,Support it now and correct it much later in private,Leave the meeting to avoid involvement,Stay factual and avoid endorsing what you cannot verify,hard,aptitude
"A colleague consistently delivers work at the last minute. Deadlines are technically met, but others are affected. What is the core issue?",There is no issue if deadlines are met,Reliability includes predictability and impact on others,Only the manager should care about this,The rest of the team should simply work faster,Reliability includes predictability and impact on others,hard,aptitude
You have incomplete data but still need to make a recommendation. What is the strongest approach?,Refuse to recommend anything until data is perfect,"State assumptions clearly, estimate carefully, and note the risks",Guess confidently and avoid discussing uncertainty,Choose the option you personally prefer,"State assumptions clearly, estimate carefully, and note the risks",hard,aptitude
A dishonest trader sells goods at cost price but uses a 900 g weight instead of 1 kg. His profit percentage is:,9.09%,10%,11.11%,12.5%,11.11%,hard,aptitude
A sum doubles itself in 5 years at simple interest. In how many years will it become 2.5 times itself at the same rate?,6.5 years,7.0 years,7.5 years,8.0 years,7.5 years,hard,aptitude
"A bag contains 5 red, 4 blue and 3 green balls. Two balls are drawn at random without replacement. What is the probability that both are blue?",1/11,1/12,2/11,3/22,1/11,hard,aptitude
Two trains of lengths 180 m and 220 m run in opposite directions at 54 km/h and 72 km/h respectively. In how many seconds will they cross each other?,10 sec,11.43 sec,12 sec,14.4 sec,11.43 sec,hard,aptitude
A rectangular field has perimeter 94 m and length exceeds breadth by 9 m. Its area is:,520 sq m,528 sq m,532 sq m,540 sq m,532 sq m,hard,aptitude
"The ratio of boys to girls in a class is 4:5. If 4 boys leave and 2 girls join, the ratio becomes 2:3. The original number of girls was:",35,40,45,50,40,hard,aptitude
"The average salary of 12 employees is Rs 58,000. If one employee with salary Rs 72,000 leaves and a new employee joins, the new average becomes Rs 57,000. The new employee's salary is:","Rs 54,000","Rs 56,000","Rs 58,000","Rs 60,000","Rs 60,000",hard,aptitude
A retailer offers two successive discounts of 10% and 20%. The single equivalent discount is:,28%,30%,26%,24%,28%,hard,aptitude
"What least number must be added to 1,876 to make it exactly divisible by 29?",7,8,9,10,9,hard,aptitude
"How many different 4-digit numbers can be formed using the digits 1, 2, 3, 4 and 5 without repetition?",60,100,120,125,120,hard,aptitude
"A father is three times as old as his son. After 12 years, he will be twice as old as his son. The son's present age is:",10 years,12 years,14 years,16 years,12 years,hard,aptitude
"A jar contains 40 litres of pure juice. If 8 litres are removed and replaced with water, and then again 8 litres of the mixture are removed and replaced with water, the quantity of pure juice left is:",24.4 litres,25.6 litres,27.2 litres,28.8 litres,25.6 litres,hard,aptitude
"If 2x + y = 17 and x - y = 1, then the value of x is:",5,6,7,8,6,hard,aptitude
"Find the next term in the series: 121, 100, 81, 64, 49, ?",36,40,42,25,36,hard,aptitude
"If 'DELHI' is coded as 'FGNJK', then 'MUMBAI' is coded as:",OWODCK,OWODCL,NVNCBJ,OWODBJ,OWODCK,hard,aptitude
Statements: No engineer is lazy. Some lazy people are artists. Conclusions: I. Some artists are not engineers. II. No artist is an engineer.,Only I follows,Only II follows,Both follow,Neither follows,Only I follows,hard,aptitude
"In a row of seven students, P is 3rd from the left and Q is 2nd from the right. If R is exactly between P and Q, what is R's position from the left?",4th,5th,6th,Cannot be determined,4th,hard,aptitude
How many such pairs of letters are there in the word 'PRACTICAL' each of which has as many letters between them in the word as in the English alphabet?,1,2,3,4,2,hard,aptitude
"If yesterday was Thursday, what day will it be 100 days from tomorrow?",Saturday,Sunday,Monday,Tuesday,Monday,hard,aptitude
A cube has all its faces painted and is then cut into 27 smaller equal cubes. How many of the smaller cubes will have exactly two faces painted?,8,12,6,4,12,hard,aptitude
Choose the correct mirror pair:,b : d,p : q,M : W,n : u,p : q,hard,aptitude
"If A + B means A is the mother of B, A - B means A is the brother of B, and A × B means A is the daughter of B, then which expression means 'P is the maternal uncle of Q'?",P - R + Q,P + R - Q,P × R + Q,P - R × Q,P - R + Q,hard,aptitude
"Find the missing term: 2, 5, 11, 23, 47, ?",89,93,95,97,95,hard,aptitude
Choose the word that is most nearly opposite in meaning to 'mitigate':,alleviate,aggravate,moderate,lessen,aggravate,hard,aptitude
Choose the correct sentence with 'hardly ... when':,Hardly had I reached the station when the train left.,Hardly had I reached the station than the train left.,Hardly I had reached the station when the train left.,Hardly had I reached the station that the train left.,Hardly had I reached the station when the train left.,hard,aptitude
Select the correctly arranged sentence: P. by the committee Q. was appreciated R. the proposal S. after detailed review,RPQS,RQSP,RPSQ,PRQS,RPQS,hard,aptitude
Choose the word closest in meaning to 'pragmatic':,idealistic,practical,emotional,rigid,practical,hard,aptitude
Fill in the blank: The report was not only concise _____ also remarkably persuasive.,but,and,yet,so,but,hard,aptitude
"You notice two customer tickets that look similar, but one may indicate a broader system issue. You have time to escalate only one immediately. What is the best choice?",Escalate the ticket from the angrier customer,Escalate the one with signs of wider impact and log the pattern,Wait for a third similar ticket before acting,Close both and let the next shift review them,Escalate the one with signs of wider impact and log the pattern,hard,aptitude
A teammate asks for access using your credentials because their system access is delayed and the task is urgent. What is the best response?,Share access once and change the password later,Refuse and help them find an approved workaround,Share access only if they send the request in writing,Log in for them and let them work from your account,Refuse and help them find an approved workaround,hard,aptitude
"You disagree with a proposed solution, but the team decides to proceed. What is the strongest professional response?",Continue arguing after the decision so the risk is visible,Withdraw from the work since your view was not accepted,Support execution fully while monitoring the key risks you raised,Privately tell others the plan will fail,Support execution fully while monitoring the key risks you raised,hard,aptitude
"A senior asks for a quick estimate, but you know the number could be misunderstood as a commitment. What should you do?",Give the lowest number so expectations stay ambitious,Give a range with assumptions and clearly label it as an estimate,Refuse to answer until every detail is known,Give a confident single number to avoid confusion,Give a range with assumptions and clearly label it as an estimate,hard,aptitude
"You see a process step that seems unnecessary, but removing it could create a compliance risk you do not fully understand. What should you do?",Skip it once to test whether anyone notices,Follow it for now and verify the rationale before proposing removal,Remove it quietly and add it back if needed,Ask a coworker to skip it instead,Follow it for now and verify the rationale before proposing removal,hard,aptitude
"A customer asks for a refund outside policy, but the case has unusual facts and the customer may actually be right. What should you do?",Reject it immediately because the policy is clear,Approve it yourself even without authority,"Explain the policy, capture the special facts, and escalate for exception review",Offer a personal promise that it will be approved,"Explain the policy, capture the special facts, and escalate for exception review",hard,aptitude
You inherit a task from someone else and notice there is almost no documentation. The deadline is near. What is the best first move?,Start changing things immediately so progress is visible,Document what you can confirm while clarifying the critical unknowns,Pause all work until complete documentation is written,Assume the earlier owner had good reasons and avoid questions,Document what you can confirm while clarifying the critical unknowns,hard,aptitude
"A teammate with strong technical skills is dismissive toward support staff, slowing coordination. What issue matters most?","Only technical output matters, so this is secondary",Collaboration quality matters because poor coordination reduces team effectiveness,The support staff should adapt to the teammate's style,"It is only a personality issue, not a work issue",Collaboration quality matters because poor coordination reduces team effectiveness,hard,aptitude
You are asked to train a new joiner while managing a busy week. What is the best approach?,Tell them to observe silently until things are less busy,Give them no context so they learn by pressure,"Set a focused plan with essentials first, then expand as time allows",Delay all training because productivity comes first,"Set a focused plan with essentials first, then expand as time allows",hard,aptitude
"A metric looks strong this week, but you suspect it improved only because work was shifted to another queue. What should you do?",Celebrate the number and move on,Report the metric with context and check whether the gain is genuine,Hide the number until it improves again next week,Assume another team will raise the issue if needed,Report the metric with context and check whether the gain is genuine,hard,aptitude
An article is marked 20% above cost price and then sold at a discount of 10%. The result is:,10% profit,6% profit,3% profit,8% profit,8% profit,hard,aptitude
An article is marked 25% above cost price and then sold at a discount of 12%. The result is:,5% profit,12% profit,10% profit,8% profit,10% profit,hard,aptitude
An article is marked 30% above cost price and then sold at a discount of 15%. The result is:,8.5% profit,5.5% profit,12.5% profit,10.5% profit,10.5% profit,hard,aptitude
An article is marked 35% above cost price and then sold at a discount of 20%. The result is:,6% profit,10% profit,8% profit,3% profit,8% profit,hard,aptitude
An article is marked 40% above cost price and then sold at a discount of 12%. The result is:,21.2% profit,25.2% profit,18.2% profit,23.2% profit,23.2% profit,hard,aptitude
An article is marked 50% above cost price and then sold at a discount of 20%. The result is:,18% profit,15% profit,22% profit,20% profit,20% profit,hard,aptitude
An article is marked 18% above cost price and then sold at a discount of 5%. The result is:,14.1% profit,10.1% profit,12.1% profit,7.1% profit,12.1% profit,hard,aptitude
"Two pipes can fill a tank in 12 minutes and 18 minutes respectively. A leak can empty the full tank in 36 minutes. If all three are opened together, the empty tank will be filled in:",7 minutes,8.1 minutes,9 minutes,11 minutes,9 minutes,hard,aptitude
"Two pipes can fill a tank in 15 minutes and 20 minutes respectively. A leak can empty the full tank in 60 minutes. If all three are opened together, the empty tank will be filled in:",11 minutes,10 minutes,8 minutes,12 minutes,10 minutes,hard,aptitude
"Two pipes can fill a tank in 16 minutes and 24 minutes respectively. A leak can empty the full tank in 48 minutes. If all three are opened together, the empty tank will be filled in:",13.2 minutes,10.8 minutes,12 minutes,14 minutes,12 minutes,hard,aptitude
"Two pipes can fill a tank in 18 minutes and 30 minutes respectively. A leak can empty the full tank in 90 minutes. If all three are opened together, the empty tank will be filled in:",14.1 minutes,14.9 minutes,10.9 minutes,12.9 minutes,12.9 minutes,hard,aptitude
"Two pipes can fill a tank in 20 minutes and 25 minutes respectively. A leak can empty the full tank in 100 minutes. If all three are opened together, the empty tank will be filled in:",11.2 minutes,10.5 minutes,12.5 minutes,14.5 minutes,12.5 minutes,hard,aptitude
"Two pipes can fill a tank in 24 minutes and 30 minutes respectively. A leak can empty the full tank in 120 minutes. If all three are opened together, the empty tank will be filled in:",17 minutes,13.5 minutes,13 minutes,15 minutes,15 minutes,hard,aptitude
"Two pipes can fill a tank in 14 minutes and 21 minutes respectively. A leak can empty the full tank in 42 minutes. If all three are opened together, the empty tank will be filled in:",10.5 minutes,8.5 minutes,9.5 minutes,12.5 minutes,10.5 minutes,hard,aptitude
The average of 12 numbers is 64. The average of the first 7 numbers is 61 and that of the last 7 numbers is 68. The number common to both groups is:,139,135,133,137,135,hard,aptitude
The average of 13 numbers is 70. The average of the first 7 numbers is 66 and that of the last 7 numbers is 75. The number common to both groups is:,79,81,75,77,77,hard,aptitude
The average of 15 numbers is 58. The average of the first 8 numbers is 55 and that of the last 8 numbers is 62. The number common to both groups is:,68,70,66,64,66,hard,aptitude
The average of 11 numbers is 72. The average of the first 6 numbers is 69 and that of the last 6 numbers is 77. The number common to both groups is:,88,82,86,84,84,hard,aptitude
The average of 14 numbers is 63. The average of the first 8 numbers is 60 and that of the last 8 numbers is 67. The number common to both groups is:,134,136,132,138,134,hard,aptitude
The average of 16 numbers is 75. The average of the first 9 numbers is 72 and that of the last 9 numbers is 79. The number common to both groups is:,159,157,163,161,159,hard,aptitude
The average of 10 numbers is 54. The average of the first 5 numbers is 50 and that of the last 6 numbers is 57. The number common to both groups is:,52,56,50,54,52,hard,aptitude
"A can complete a work in 18 days and B in 24 days. They work together for 6 days, after which A leaves. B alone will finish the remaining work in:",8 days,13 days,12 days,10 days,10 days,hard,aptitude
"A can complete a work in 20 days and B in 30 days. They work together for 8 days, after which A leaves. B alone will finish the remaining work in:",12 days,13 days,10 days,8 days,10 days,hard,aptitude
"A can complete a work in 16 days and B in 24 days. They work together for 5 days, after which A leaves. B alone will finish the remaining work in:",13.5 days,11.5 days,9.5 days,9.2 days,11.5 days,hard,aptitude
"A can complete a work in 21 days and B in 28 days. They work together for 7 days, after which A leaves. B alone will finish the remaining work in:",9.7 days,9.3 days,11.7 days,13.7 days,11.7 days,hard,aptitude
"A can complete a work in 24 days and B in 32 days. They work together for 8 days, after which A leaves. B alone will finish the remaining work in:",10.7 days,15.3 days,11.3 days,13.3 days,13.3 days,hard,aptitude
"A can complete a work in 15 days and B in 25 days. They work together for 5 days, after which A leaves. B alone will finish the remaining work in:",9.7 days,9.3 days,11.7 days,13.7 days,11.7 days,hard,aptitude
"A can complete a work in 12 days and B in 18 days. They work together for 4 days, after which A leaves. B alone will finish the remaining work in:",6.4 days,6 days,8 days,10 days,8 days,hard,aptitude
A boat travels 30 km downstream in 3 hours and 20 km upstream in 4 hours. The speed of the boat in still water is:,7.5 km/h,6.5 km/h,8.5 km/h,9.5 km/h,7.5 km/h,hard,aptitude
A boat travels 36 km downstream in 4 hours and 24 km upstream in 6 hours. The speed of the boat in still water is:,7.5 km/h,6.5 km/h,8.5 km/h,5.5 km/h,6.5 km/h,hard,aptitude
A boat travels 42 km downstream in 3 hours and 24 km upstream in 4 hours. The speed of the boat in still water is:,10 km/h,12 km/h,11 km/h,9 km/h,10 km/h,hard,aptitude
A boat travels 48 km downstream in 4 hours and 32 km upstream in 8 hours. The speed of the boat in still water is:,8 km/h,7 km/h,9 km/h,10 km/h,8 km/h,hard,aptitude
A boat travels 40 km downstream in 5 hours and 25 km upstream in 5 hours. The speed of the boat in still water is:,5.5 km/h,8.5 km/h,6.5 km/h,7.5 km/h,6.5 km/h,hard,aptitude
A boat travels 54 km downstream in 6 hours and 30 km upstream in 5 hours. The speed of the boat in still water is:,6.5 km/h,8.5 km/h,7.5 km/h,9.5 km/h,7.5 km/h,hard,aptitude
A boat travels 28 km downstream in 2 hours and 18 km upstream in 3 hours. The speed of the boat in still water is:,9 km/h,11 km/h,12 km/h,10 km/h,10 km/h,hard,aptitude
"A sum amounts to Rs 14,400 at 20% compound interest per annum in 2 years. The principal is:","Rs 9,000","Rs 10,000","Rs 11,000","Rs 11,500","Rs 10,000",hard,aptitude
"A sum amounts to Rs 17,280 at 20% compound interest per annum in 2 years. The principal is:","Rs 12,000","Rs 13,200","Rs 10,800","Rs 13,000","Rs 12,000",hard,aptitude
"A sum amounts to Rs 21,952 at 12% compound interest per annum in 3 years. The principal is:","Rs 14,062.50","Rs 15,625","Rs 16,625","Rs 17,187.50","Rs 15,625",hard,aptitude
"A sum amounts to Rs 26,620.80 at 10% compound interest per annum in 4 years. The principal is:","Rs 19,182.36","Rs 16,364.12","Rs 20,000.60","Rs 18,182.36","Rs 18,182.36",hard,aptitude
"A sum amounts to Rs 19,683 at 25% compound interest per annum in 2 years. The principal is:","Rs 13,597.12","Rs 11,337.41","Rs 12,597.12","Rs 13,856.83","Rs 12,597.12",hard,aptitude
"A sum amounts to Rs 32,768 at 25% compound interest per annum in 3 years. The principal is:","Rs 18,454.94","Rs 15,099.50","Rs 16,777.22","Rs 17,777.22","Rs 16,777.22",hard,aptitude
"A sum amounts to Rs 13,310 at 10% compound interest per annum in 3 years. The principal is:","Rs 11,500","Rs 9,000","Rs 11,000","Rs 10,000","Rs 10,000",hard,aptitude
"A train 180 m long passes a pole in 18 seconds. At the same speed, it will cross a platform 120 m long in:",24 sec,30 sec,33 sec,27 sec,30 sec,hard,aptitude
"A train 150 m long passes a pole in 15 seconds. At the same speed, it will cross a platform 100 m long in:",22 sec,25 sec,20 sec,28 sec,25 sec,hard,aptitude
"A train 200 m long passes a pole in 20 seconds. At the same speed, it will cross a platform 150 m long in:",38 sec,35 sec,28 sec,32 sec,35 sec,hard,aptitude
"A train 240 m long passes a pole in 24 seconds. At the same speed, it will cross a platform 160 m long in:",32 sec,37 sec,43 sec,40 sec,40 sec,hard,aptitude
"A train 175 m long passes a pole in 14 seconds. At the same speed, it will cross a platform 125 m long in:",21 sec,27 sec,24 sec,19.2 sec,24 sec,hard,aptitude
"A train 210 m long passes a pole in 21 seconds. At the same speed, it will cross a platform 140 m long in:",28 sec,35 sec,32 sec,38 sec,35 sec,hard,aptitude
"A train 135 m long passes a pole in 9 seconds. At the same speed, it will cross a platform 90 m long in:",12 sec,18 sec,21 sec,15 sec,15 sec,hard,aptitude
"The average salary of 10 employees is Rs 48,000. If one employee drawing Rs 65,000 leaves and a new employee joins, the average becomes Rs 47,000. The new employee's salary is:","Rs 60,000","Rs 53,000","Rs 57,000","Rs 55,000","Rs 55,000",hard,aptitude
"The average salary of 12 employees is Rs 58,000. If one employee drawing Rs 72,000 leaves and a new employee joins, the average becomes Rs 57,000. The new employee's salary is:","Rs 58,000","Rs 65,000","Rs 62,000","Rs 60,000","Rs 60,000",hard,aptitude
"The average salary of 15 employees is Rs 62,000. If one employee drawing Rs 78,000 leaves and a new employee joins, the average becomes Rs 61,000. The new employee's salary is:","Rs 63,000","Rs 68,000","Rs 65,000","Rs 61,000","Rs 63,000",hard,aptitude
"The average salary of 8 employees is Rs 45,000. If one employee drawing Rs 52,000 leaves and a new employee joins, the average becomes Rs 44,000. The new employee's salary is:","Rs 44,000","Rs 46,000","Rs 49,000","Rs 42,000","Rs 44,000",hard,aptitude
"The average salary of 20 employees is Rs 54,000. If one employee drawing Rs 70,000 leaves and a new employee joins, the average becomes Rs 53,500. The new employee's salary is:","Rs 65,000","Rs 60,000","Rs 62,000","Rs 58,000","Rs 60,000",hard,aptitude
"The average salary of 18 employees is Rs 60,000. If one employee drawing Rs 85,000 leaves and a new employee joins, the average becomes Rs 59,000. The new employee's salary is:","Rs 67,000","Rs 72,000","Rs 65,000","Rs 69,000","Rs 67,000",hard,aptitude
"The average salary of 14 employees is Rs 51,000. If one employee drawing Rs 68,000 leaves and a new employee joins, the average becomes Rs 50,000. The new employee's salary is:","Rs 54,000","Rs 52,000","Rs 56,000","Rs 59,000","Rs 54,000",hard,aptitude
A store offers successive discounts of 10% and 20% on an item. The single equivalent discount is:,26%,30%,33%,28%,28%,hard,aptitude
A retailer offers two successive discounts of 15% and 15%. The single equivalent discount is:,29.75%,32.75%,25.75%,27.75%,27.75%,hard,aptitude
A retailer offers two successive discounts of 12% and 18%. The single equivalent discount is:,32.84%,27.84%,29.84%,25.84%,27.84%,hard,aptitude
A retailer offers two successive discounts of 20% and 25%. The single equivalent discount is:,38%,42%,45%,40%,40%,hard,aptitude
A retailer offers two successive discounts of 8% and 12%. The single equivalent discount is:,24.04%,21.04%,19.04%,17.04%,19.04%,hard,aptitude
A retailer offers two successive discounts of 25% and 10%. The single equivalent discount is:,30.5%,37.5%,32.5%,34.5%,32.5%,hard,aptitude
A retailer offers two successive discounts of 30% and 5%. The single equivalent discount is:,33.5%,31.5%,38.5%,35.5%,33.5%,hard,aptitude
"A father is 3 times as old as his son. After 12 years, he will be twice as old as his son. The son's present age is:",10 years,12 years,16 years,14 years,12 years,hard,aptitude
"A father is 4 times as old as his son. After 8 years, he will be twice as old as his son. The son's present age is:",8 years,6 years,4 years,2 years,4 years,hard,aptitude
"A father is 6 times as old as his son. After 12 years, he will be twice as old as his son. The son's present age is:",5 years,7 years,3 years,1 years,3 years,hard,aptitude
"A father is 3 times as old as his son. After 15 years, he will be twice as old as his son. The son's present age is:",13 years,17 years,19 years,15 years,15 years,hard,aptitude
