question,option_1,option_2,option_3,option_4,answer,difficulty,type
You disagree with your manager's decision. How do you handle it?,Argue publicly,Do it anyway but complain,Discuss your concerns privately with data,Quit,Discuss your concerns privately with data,hard,hr
A colleague takes credit for your work. What is your reaction?,Confront them aggressively,Let it go,Speak to them and then the manager if needed,Gossip about them,Speak to them and then the manager if needed,moderate,hr
You notice a significant error in a project just before the deadline.,Ignore it to meet the deadline,Fix it secretly,Inform the team and work together to fix it,Blame someone else,Inform the team and work together to fix it,moderate,hr
Two team members are arguing and it affects work.,Pick a side,Ignore it,Encourage them to resolve it or mediate,Report them immediately,Encourage them to resolve it or mediate,moderate,hr
You are given a task you don't know how to do.,Refuse the task,Guess and hope for the best,Ask for help and research,Procrastinate,Ask for help and research,easy,hr
The project requirements change at the last minute.,Panic,Refuse to change,Adapt and prioritize the new changes,Complain,Adapt and prioritize the new changes,moderate,hr
You have too many tasks and cannot finish them all.,Hide the problem,Work 24/7 until burnout,Prioritize and communicate with your manager,Quit,Prioritize and communicate with your manager,moderate,hr
A client is angry about a delay. How do you respond?,Argue back,Blame the team,"Apologize, explain, and offer a solution",Ignore the client,"Apologize, explain, and offer a solution",hard,hr
You made a mistake that caused a financial loss.,Hide it,Blame a software bug,Admit it immediately and propose a fix,Resign,Admit it immediately and propose a fix,hard,hr
You see a colleague violating company policy.,Join them,Ignore it,Report it to HR or a manager,Blackmail them,Report it to HR or a manager,hard,hr
A friend asks you to share confidential company data.,Share it because they are a friend,Refuse and explain the policy,Share a little bit,Ask for money,Refuse and explain the policy,moderate,hr
You are asked to lie to a client.,Do it,Refuse politely and suggest an honest approach,Do it but complain later,Quit immediately,Refuse politely and suggest an honest approach,hard,hr
You find a security loophole in the company system.,Exploit it,Ignore it,Report it to the security team,Tell everyone,Report it to the security team,moderate,hr
No one is taking the lead on a group project.,Wait for someone else,Take the initiative to organize the team,Do your part and leave,Complain about lack of leadership,Take the initiative to organize the team,moderate,hr
"You have an idea to improve a process, but it's not your job.",Keep it to yourself,Share it with your manager,Implement it without asking,Sell the idea to a competitor,Share it with your manager,easy,hr
A new team member is struggling to adjust.,Ignore them,Mock them,Offer to mentor or help them,Complain to the manager,Offer to mentor or help them,easy,hr
Your team fails to meet a goal. Who is responsible?,The manager,The weakest member,"The whole team, including you",The client,"The whole team, including you",moderate,hr
You get a better job offer. How do you resign?,Leave without notice,Give notice and help with the transition,Badmouth the company,Stop working immediately,Give notice and help with the transition,easy,hr
You are bored with your current tasks.,Do a poor job,Ask for more challenging work,Play games,Disturb others,Ask for more challenging work,easy,hr
How do you handle repetitive work?,Automate or find ways to improve efficiency,Complain,Do it slowly,Skip it,Automate or find ways to improve efficiency,moderate,hr
What is your ideal work environment?,Total isolation,Collaborative and supportive,Chaotic,Strict and rigid,Collaborative and supportive,easy,hr
Why is diversity important in a team?,It's not,It looks good,It brings different perspectives and innovation,It's a legal requirement,It brings different perspectives and innovation,easy,hr
A key stakeholder rejects your proposal.,Give up,Argue,Ask for feedback and refine the proposal,Ignore them,Ask for feedback and refine the proposal,moderate,hr
You are working with a difficult personality.,Avoid them,Be rude back,Maintain professionalism and focus on work,Gossip about them,Maintain professionalism and focus on work,moderate,hr
You have a personal emergency during a critical project.,Leave without telling anyone,Communicate with the team and make arrangements,Bring the emergency to work,Ignore the emergency,Communicate with the team and make arrangements,moderate,hr
You receive critical feedback in front of others.,Get angry,Cry,Listen objectively and discuss later if needed,Deny everything,Listen objectively and discuss later if needed,hard,hr
Your computer crashes and you lose unsaved work.,Scream,Blame IT,Apologize and redo the work as fast as possible,Go home,Apologize and redo the work as fast as possible,easy,hr
You suspect a manager is favoring certain employees.,Gossip,Document instances and speak to HR if serious,Quit,Favor the manager back,Document instances and speak to HR if serious,hard,hr
A customer asks a question you don't know the answer to.,Lie,Say 'I don't know' and walk away,"Say 'I'm not sure, let me find out for you'",Guess,"Say 'I'm not sure, let me find out for you'",easy,hr
You are asked to work overtime for a week.,Refuse,Agree if it's necessary and temporary,Quit,Demand triple pay immediately,Agree if it's necessary and temporary,moderate,hr
You finish your work early.,Go home,Pretend to work,Ask for more work or help others,Sleep,Ask for more work or help others,easy,hr
Your project is successful. Who gets the credit?,Me,My manager,The team,No one,The team,easy,hr
How do you define 'hard work'?,Working long hours,Working efficiently and achieving goals,Doing what is told,Sweating,Working efficiently and achieving goals,easy,hr
You need to explain a complex technical issue to a non-technical client.,Use technical jargon to sound smart,Simplify the language and use analogies,Tell them it's too hard to explain,Ask a colleague to do it,Simplify the language and use analogies,moderate,hr
A team member is shy and doesn't speak up in meetings.,Ignore them,Put them on the spot publicly,Encourage them privately and create space for them to speak,Speak for them,Encourage them privately and create space for them to speak,easy,hr
You realize you misunderstood an important instruction.,Pretend you understood,Ask for clarification immediately,Guess and proceed,Blame the instructor,Ask for clarification immediately,easy,hr
How do you handle a colleague who interrupts you constantly?,Interrupt them back,Stay silent,Politely ask to finish your thought,Walk away,Politely ask to finish your thought,moderate,hr
You need to deliver bad news to a stakeholder.,Send an email and hide,Delay it as long as possible,Communicate it directly and offer solutions,Blame someone else,Communicate it directly and offer solutions,hard,hr
You identify a potential risk in a project plan.,Ignore it,Document it and inform the project manager,Wait for it to happen,Tell everyone the project will fail,Document it and inform the project manager,moderate,hr
You have a better solution than the one proposed by your boss.,Implement your solution secretly,Criticize the boss's solution publicly,Propose your solution with data and benefits,Forget it,Propose your solution with data and benefits,hard,hr
You are asked to do something unethical by a client.,Do it to keep the client,Refuse and explain company values,Ask for a bribe,Ignore the request,Refuse and explain company values,hard,hr
Two urgent tasks come up at the same time.,Panic,Multitask poorly,Prioritize based on impact and deadlines,Flip a coin,Prioritize based on impact and deadlines,easy,hr
You lack the resources to complete a project on time.,Give up,Work overtime without telling anyone,Request more resources or adjust the scope,Deliver a poor quality product,Request more resources or adjust the scope,moderate,hr
A new policy is introduced that you dislike.,Complain to everyone,Ignore it,Adapt and give constructive feedback if needed,Quit,Adapt and give constructive feedback if needed,moderate,hr
You are assigned to work with someone you don't like personally.,Refuse the assignment,Be rude to them,Maintain professionalism and focus on the work,Gossip about them,Maintain professionalism and focus on the work,moderate,hr
Your team achieves a major milestone., celebrate alone,Celebrate as a team and acknowledge contributions,Ignore it and work on the next task,Take all credit,Celebrate as a team and acknowledge contributions,easy,hr
You see a coworker being harassed.,Ignore it,Join in,Intervene or report it to HR,Laugh,Intervene or report it to HR,hard,hr
How do you handle feedback that you think is unfair?,Argue immediately,Ignore it,Ask for specific examples and reflect,Cry,Ask for specific examples and reflect,moderate,hr
You feel stagnant in your current role.,Quit without a plan,Complain to coworkers,Discuss career growth with your manager,Do less work,Discuss career growth with your manager,easy,hr
You are asked to lead a project you feel unprepared for.,Refuse,Accept and ask for support/mentorship,Accept and fake it,Panic,Accept and ask for support/mentorship,moderate,hr
How do you handle failure?,Blame others,Hide it,Analyze what went wrong and learn from it,Give up,Analyze what went wrong and learn from it,easy,hr
You have free time at work.,Browse social media,Ask for more work or learn a new skill,Go home early,Sleep,Ask for more work or learn a new skill,easy,hr
What is your approach to work-life balance?,Work all the time,Prioritize work over everything,Manage time effectively to fulfill both,Ignore work,Manage time effectively to fulfill both,easy,hr
"You are given urgent work by two seniors at the same time, and both insist their task is the priority. What should you do first?",Start the task of the more senior person without discussion,"Compare deadlines and business impact, then clarify priorities with both",Do whichever task seems easier so one gets finished quickly,Wait until one of them reminds you again,"Compare deadlines and business impact, then clarify priorities with both",hard,hr
A client asks for a commitment that your team may not realistically meet. What is the best response?,Promise the deadline to impress the client and manage later,Avoid answering and hope your manager responds,"Acknowledge the request, verify internally, and return with a realistic commitment",Refuse immediately so expectations stay low,"Acknowledge the request, verify internally, and return with a realistic commitment",hard,hr
"You notice a small error in a report just after it has been sent to a manager. The error does not change the main conclusion, but it is still noticeable. What should you do?",Say nothing because the conclusion is still correct,Send a corrected version with a brief note explaining the change,Wait to see whether the manager notices it,Blame the formatting team if asked,Send a corrected version with a brief note explaining the change,hard,hr
A teammate who usually performs well misses a deadline and looks stressed. Your own work depends on theirs. What is the most effective step?,Escalate immediately without speaking to them,Take over all their work without informing anyone,"Check in with them, understand the blocker, and align on recovery steps",Publicly remind them in the group chat to create pressure,"Check in with them, understand the blocker, and align on recovery steps",hard,hr
"During a meeting, your idea is ignored. Ten minutes later, someone else says almost the same thing and it is praised. What should you do?",Interrupt and accuse them of stealing your idea,Stay silent and disengage from the meeting,Build on the point calmly and help move the discussion forward,Argue until everyone accepts you said it first,Build on the point calmly and help move the discussion forward,hard,hr
You are halfway through a task when you realize the instructions are ambiguous. The deadline is close. What is the best move?,Continue with your assumptions and submit whatever you finish,Ask concise clarifying questions and proceed on the parts that are clear,Stop working until detailed instructions are provided,Copy a previous submission even if the context is different,Ask concise clarifying questions and proceed on the parts that are clear,hard,hr
A colleague shares confidential information casually in a public area. What should you do?,Ignore it because they are more experienced,Quietly move the conversation or remind them about confidentiality,Join the conversation since the information is already public nearby,Record the conversation as evidence before saying anything,Quietly move the conversation or remind them about confidentiality,hard,hr
"You are asked to present team results, but one data point is weaker than expected. What is the best approach?",Hide the weak data point to keep the presentation strong,Mention only positive trends and skip detailed questions,Present the weak point honestly with context and next steps,Delay the presentation until the weak point improves,Present the weak point honestly with context and next steps,hard,hr
Your manager gives feedback that you feel is unfair. How should you respond?,Defend yourself immediately and reject the feedback,"Listen carefully, ask for examples, and discuss improvement areas",Complain to coworkers so they understand your side,Ignore the feedback because you disagree with it,"Listen carefully, ask for examples, and discuss improvement areas",hard,hr
"A customer is upset and speaking harshly, but the issue is partly caused by their own mistake. What is the best response?",Point out their mistake first so they calm down,"Stay calm, address the issue, and explain the situation respectfully",Transfer the call quickly to avoid conflict,End the conversation if the tone is rude,"Stay calm, address the issue, and explain the situation respectfully",hard,hr
You finish your part of a group assignment early and notice another member is struggling. What should you do?,Do nothing because your part is already complete,Offer support without taking away their ownership,Inform the teacher or manager immediately that they are weak,Redo their entire part yourself and submit it,Offer support without taking away their ownership,hard,hr
"A new process is introduced, and many colleagues are complaining before trying it. How should you respond?",Join the complaints so you fit in with the team,Refuse to use the process until everyone agrees,"Evaluate it fairly, adapt, and give specific feedback if needed",Avoid the process but say you are following it,"Evaluate it fairly, adapt, and give specific feedback if needed",hard,hr
You are asked a question in an interview that you do not know the exact answer to. What is the best approach?,Invent a confident answer to avoid looking weak,Admit what you do not know and explain how you would find the answer,Stay silent until the interviewer changes the question,Change the topic to a different skill you know better,Admit what you do not know and explain how you would find the answer,hard,hr
Your team is close to a deadline when a senior requests an extra feature that may delay delivery. What is the best action?,Add the feature immediately because it came from a senior,Ignore the request and continue with the original plan,Assess impact and discuss trade-offs before committing,Tell the team to work late without asking them,Assess impact and discuss trade-offs before committing,hard,hr
You receive credit for work that was mostly done by your teammate. What should you do?,Accept the praise because the team still benefits,Correct the impression and acknowledge your teammate's contribution,Stay quiet unless your teammate complains,Share the credit later only in private,Correct the impression and acknowledge your teammate's contribution,hard,hr
A coworker asks you to mark them present in a meeting they missed. What should you do?,Do it once because it helps a teammate,Refuse politely and avoid misrepresenting attendance,Agree if they promise to help you later,Ask another coworker to do it instead,Refuse politely and avoid misrepresenting attendance,hard,hr
You are assigned to a task outside your comfort zone. What response shows the strongest professionalism?,Decline because it is not part of your strengths,"Accept it, learn quickly, and ask for guidance where necessary",Take it but avoid asking questions so you seem capable,Wait for someone else to volunteer,"Accept it, learn quickly, and ask for guidance where necessary",hard,hr
"A teammate regularly interrupts others in meetings, including you. What is the best way to handle it?",Interrupt them back every time,Raise it respectfully at the right time and refocus on discussion norms,Stop contributing in meetings altogether,Complain about them to everyone except them,Raise it respectfully at the right time and refocus on discussion norms,hard,hr
You find a cheaper shortcut that saves time but violates a company policy. What should you do?,Use it because results matter more than process,Use it only when nobody is watching,Follow policy and suggest the shortcut only if it can be approved properly,Ask a coworker to take responsibility for it,Follow policy and suggest the shortcut only if it can be approved properly,hard,hr
"Your manager is unavailable, and a decision is needed immediately to prevent delay. What is the best response?",Do nothing until the manager returns,Make a reasoned decision within your authority and document it,Take the safest option even if it creates a larger problem later,Ask every coworker until someone decides for you,Make a reasoned decision within your authority and document it,hard,hr
"You disagree with a teammate's approach, but their plan could still work. What should you do?",Insist on your own method because you think it is better,"Discuss pros and cons objectively, then support the final decision",Let them fail so they learn a lesson,Tell others privately that their method is weak,"Discuss pros and cons objectively, then support the final decision",hard,hr
A recruiter asks why they should hire you over equally qualified candidates. Which answer is strongest?,Because I work harder than most people,Because I combine willingness to learn with reliability and follow-through,Because I need the job badly,Because I can do anything if given a chance,Because I combine willingness to learn with reliability and follow-through,hard,hr
You discover your teammate used outdated data in an important analysis. The meeting starts in five minutes. What should you do?,Say nothing and correct it after the meeting,Quickly alert them and align on how to present the correction,Point it out during the meeting so everyone knows it was their mistake,Replace the slides silently and hope they notice,Quickly alert them and align on how to present the correction,hard,hr
A customer asks for a discount you are not authorized to approve. What is the best response?,Promise the discount and seek approval later,Decline rudely so the conversation ends quickly,Explain your limit clearly and offer to escalate or explore alternatives,Avoid answering and change the topic,Explain your limit clearly and offer to escalate or explore alternatives,hard,hr
"You are part of a team where two members are in conflict, and it is hurting work quality. What should you do?",Choose one side and support them strongly,Stay completely uninvolved even when work suffers,Encourage focus on shared goals and involve the right person if needed,Tell others about the conflict so pressure builds,Encourage focus on shared goals and involve the right person if needed,hard,hr
You realize you may miss your deadline because your estimate was too optimistic. What is the best action?,Wait until the deadline day to update others,"Inform stakeholders early, explain the risk, and propose a revised plan",Rush the work and lower the quality without telling anyone,Blame unclear instructions entirely,"Inform stakeholders early, explain the risk, and propose a revised plan",hard,hr
"A colleague asks you for help during your busiest hour, and their issue is urgent. What is the best first step?",Refuse because you are also busy,Pause your work completely until their issue is solved,"Assess urgency, help briefly if possible, or direct them to the fastest support path",Tell them to come back tomorrow,"Assess urgency, help briefly if possible, or direct them to the fastest support path",hard,hr
You are asked in an interview about a failure. Which answer is best?,I have not failed seriously in my academic or professional life,"I mention a failure, what I learned, and how I improved my process",I describe a failure caused completely by others,I avoid giving details so the interviewer is not concerned,"I mention a failure, what I learned, and how I improved my process",hard,hr
"A senior praises speed over documentation, but your team has suffered before from missing records. What should you do?",Skip documentation to match the senior's preference,Document essential points while keeping delivery efficient,Document everything in extreme detail even if delivery stops,Let others worry about documentation later,Document essential points while keeping delivery efficient,hard,hr
A coworker asks for your login credentials because they need quick access to finish work. What should you do?,Share them once because the reason sounds valid,Refuse and help them find a secure alternative,"Send the password, then change it later",Write it down without sending it online,Refuse and help them find a secure alternative,hard,hr
"Your team completes a project successfully. In the review meeting, what reflects maturity the most?",Talk only about your own contribution,Celebrate success and also note what can be improved next time,Say nothing critical because the project succeeded,Focus only on mistakes to sound analytical,Celebrate success and also note what can be improved next time,hard,hr
"A manager asks for your opinion, but everyone else in the room has already agreed on another view. What should you do?",Agree with the majority to avoid risk,"Share your view respectfully with reasons, then stay open to discussion",Stay silent because disagreement looks negative,Say the opposite strongly to attract attention,"Share your view respectfully with reasons, then stay open to discussion",hard,hr
You are onboarding to a new team and notice an inefficient practice. What should you do first?,Criticize the process immediately to show initiative,Understand the context before suggesting improvements,Ignore it permanently because you are new,Change the process yourself without discussion,Understand the context before suggesting improvements,hard,hr
You are asked to choose between finishing fast with possible errors or delaying slightly for accuracy. Which is best?,Always choose speed because deadlines matter most,Choose accuracy blindly even if the delay causes bigger business loss,"Balance impact, but generally communicate and protect quality on important work",Ask someone else to decide every time,"Balance impact, but generally communicate and protect quality on important work",hard,hr
"A teammate sends a message that sounds rude, but you are not sure whether they intended it that way. What should you do?",Respond sharply so they know it was rude,Assume positive intent first and clarify if needed,Show the message to others and ask who is right,Stop collaborating with them,Assume positive intent first and clarify if needed,hard,hr
"In a group discussion, one member speaks little but seems to have good ideas. What should you do?",Ignore them because active speakers matter more,Invite their input so the discussion benefits from all perspectives,Speak over them to keep pace high,Ask them only after the discussion ends,Invite their input so the discussion benefits from all perspectives,hard,hr
A stakeholder changes requirements repeatedly. What is the best long-term response?,Keep redoing work silently each time,"Document changes, confirm priorities, and manage expectations clearly",Refuse all future changes,Complain to the team without speaking to the stakeholder,"Document changes, confirm priorities, and manage expectations clearly",hard,hr
You are leading a small team task and notice one member is doing most of the talking while another is doing most of the work. What should you do?,Let it continue because results matter more than fairness,Rebalance responsibilities and make contributions more transparent,Replace both members immediately,Publicly criticize the person speaking more,Rebalance responsibilities and make contributions more transparent,hard,hr
"An interviewer asks, 'Why should we trust you with responsibility?' Which answer is strongest?",Because I am confident and ambitious,"Because I take ownership, communicate early, and follow through consistently",Because I dislike being monitored,Because I have never made a mistake,"Because I take ownership, communicate early, and follow through consistently",hard,hr
You notice a process problem that saves only a few minutes each day. What should you do?,Ignore it because the gain is small,Evaluate whether the repeated savings justify a simple improvement,Spend weeks redesigning the full system immediately,Raise the issue dramatically as a crisis,Evaluate whether the repeated savings justify a simple improvement,hard,hr
A new teammate makes an avoidable mistake on their first week. What response helps the team most?,Highlight it publicly so standards are clear,Correct it constructively and help them avoid repeating it,Fix it silently and resent them later,Tell the manager they are not ready for the role,Correct it constructively and help them avoid repeating it,hard,hr
"You are offered help from a colleague, but their style is different from yours. What should you do?",Reject help because it may slow you down,"Use the support if it improves the outcome, even if the style differs",Accept help but criticize their method throughout,Pretend to accept help and then redo everything alone,"Use the support if it improves the outcome, even if the style differs",hard,hr
A team member shares an idea that is risky but innovative. What is the best reaction?,Reject it immediately because risk is bad,"Evaluate risks, benefits, and possible pilot options",Approve it fully without analysis to encourage creativity,Ignore it because safe ideas are enough,"Evaluate risks, benefits, and possible pilot options",hard,hr
You are asked to multitask during an interview simulation. What is the strongest approach?,Handle everything at once without prioritizing,"Clarify priorities, sequence work, and communicate trade-offs",Refuse multitasking completely,Start with the easiest task and hope the rest fits,"Clarify priorities, sequence work, and communicate trade-offs",hard,hr
A coworker asks you to support a statement in a meeting that you know is only partly true. What should you do?,Support it because loyalty matters,Stay factual and avoid endorsing what you cannot verify,Support it now and correct it privately much later,Leave the meeting to avoid involvement,Stay factual and avoid endorsing what you cannot verify,hard,hr
You are given feedback that your communication is too detailed for busy audiences. What should you do?,Keep your style because detail proves competence,Adapt your message to the audience while keeping key facts clear,Speak much less even when critical details are needed,Avoid giving updates unless asked,Adapt your message to the audience while keeping key facts clear,hard,hr
"Your project succeeds, but only because the team took on unsustainable workload. What should you emphasize in the review?","Only the success, so morale stays high",The success and the need for a healthier process next time,That hard work always means long hours,That planning does not matter when people are committed,The success and the need for a healthier process next time,hard,hr
You are unsure whether a request from a client is ethical but it is not clearly illegal. What should you do?,Do it because the client is important,Pause and seek guidance under company policy,Do half of it so the risk is smaller,Tell the client yes and decide later,Pause and seek guidance under company policy,hard,hr
You are preparing for an interview and realize there is a gap in your experience for one requirement. How should you answer if asked about it?,Pretend you have done it many times,"Be honest, connect related experience, and explain how you would ramp up",Say the requirement is not important,Avoid the question entirely,"Be honest, connect related experience, and explain how you would ramp up",hard,hr
A coworker often brings problems without suggesting any solution. What is the best way to respond?,Stop helping them altogether,Ask them to come with options so discussion becomes more productive,Report them immediately as negative,Provide the solution every time to save time,Ask them to come with options so discussion becomes more productive,hard,hr
"During a group task, you notice people are agreeing too quickly. What is the best action?",Accept quick agreement to save time,Test assumptions and invite concerns before finalizing,Argue against the group no matter what,Delay the decision without reason,Test assumptions and invite concerns before finalizing,hard,hr
"You made a recommendation, and later new evidence shows it may have been wrong. What should you do?",Defend the original recommendation strongly,Update your view openly based on the new evidence,Stay silent and hope no one asks,Blame the data source completely,Update your view openly based on the new evidence,hard,hr
"A peer from another team needs information from you, but sharing it will take effort and does not directly help your own goals. What should you do?",Ignore the request because it is not your priority,Help appropriately because cross-team support improves overall outcomes,Send incomplete information quickly,Tell them to ask your manager first even if not necessary,Help appropriately because cross-team support improves overall outcomes,hard,hr
A teammate wants to skip testing because 'it usually works.' What is the best response?,Agree if the deadline is close,Do at least risk-based testing and explain why it matters,Let them decide because it is their area,Test only if something fails later,Do at least risk-based testing and explain why it matters,hard,hr
"You are asked to describe your leadership style in an interview, but you have not held a formal title. What is the best answer?",Say leadership only happens with authority,"Describe how you influence, coordinate, and take ownership without title",Claim you were basically the leader in every group,Say you prefer not to lead,"Describe how you influence, coordinate, and take ownership without title",hard,hr
A colleague vents emotionally after receiving criticism. What is the most constructive response?,Tell them they are overreacting,"Listen briefly, acknowledge their frustration, then help refocus on next steps",Agree that the feedback was unfair without knowing details,Avoid them until they calm down on their own,"Listen briefly, acknowledge their frustration, then help refocus on next steps",hard,hr
"A task seems simple, but hidden issues often appear in such work. What should you do?",Assume it is simple and estimate aggressively,Check assumptions and identify likely risks early,Delay starting because uncertainty exists,Ask someone else to own it,Check assumptions and identify likely risks early,hard,hr
A team member misses meetings often but still delivers quality work. What is the best perspective?,Attendance never matters if output is good,"Address reliability and coordination, not just final output",Complain only about fairness,Ignore it because results are enough,"Address reliability and coordination, not just final output",hard,hr
You are offered a chance to lead a presentation on short notice. What is the strongest response?,Decline because preparation time is limited,"Accept, prepare the key message quickly, and clarify open points",Accept and improvise without preparation,Pass it to someone else immediately,"Accept, prepare the key message quickly, and clarify open points",hard,hr
"A manager asks for your honest view, but you suspect they prefer a positive answer. What should you do?",Tell them only what they want to hear,"Give a balanced, honest answer with constructive framing",Avoid giving any opinion,Give an overly negative answer to prove independence,"Give a balanced, honest answer with constructive framing",hard,hr
"You and a teammate both think the other person owns a task, and now it is overdue. What should you do?",Argue about ownership first,"Resolve the immediate gap, then clarify ownership to prevent repeats",Wait until your manager notices,Do only your half and leave the rest,"Resolve the immediate gap, then clarify ownership to prevent repeats",hard,hr
"You have limited time before an exam, interview, or deadline. What approach is strongest?",Spend all time on your strongest topics to feel confident,Prioritize high-impact gaps and practice under realistic conditions,Read everything once without prioritization,Keep changing plans whenever you feel stressed,Prioritize high-impact gaps and practice under realistic conditions,hard,hr
"A client praises you for solving an issue, but another department actually fixed the root cause. What should you do?",Accept all the praise because you communicated with the client,Acknowledge the broader team effort appropriately,Tell the client it was not your problem,Ignore the contribution of the other department,Acknowledge the broader team effort appropriately,hard,hr
Your teammate proposes a shortcut that is technically allowed but likely to confuse users later. What should you do?,Accept it because it is allowed,"Consider user impact, not just technical permissibility",Reject all shortcuts on principle,Let the teammate decide alone,"Consider user impact, not just technical permissibility",hard,hr
You receive vague criticism such as 'You need to be more strategic.' What should you do?,Ignore it because it is too vague,Ask for examples and behaviors you can improve,Assume the worst and lose confidence,Argue that the feedback is meaningless,Ask for examples and behaviors you can improve,hard,hr
A strong candidate on your team is quiet in high-visibility settings and gets overlooked. What should a good teammate do?,Say nothing because visibility is their own issue,Create room for their contribution and recognize their work fairly,Speak on their behalf all the time,Tell them to become louder or be left behind,Create room for their contribution and recognize their work fairly,hard,hr
An interviewer asks what you do when you disagree with authority. Which answer is strongest?,I usually avoid disagreement with authority,I raise concerns respectfully with reasons and support the final decision once made,I push my view until authority changes course,I discuss the issue only with peers afterward,I raise concerns respectfully with reasons and support the final decision once made,hard,hr
"A recurring issue affects customers, but fixing it fully will take time. What should you do now?",Wait to communicate until the full fix is ready,Provide a workaround or interim mitigation while working on the root cause,Hide the issue to avoid concern,Promise the issue is solved before it is,Provide a workaround or interim mitigation while working on the root cause,hard,hr
You are asked to review a teammate's work and find several small issues. What is the best way to respond?,Return it with harsh comments so they improve faster,"Give specific, respectful feedback focused on the work",Fix everything yourself without explanation,Mention only positive points to avoid discomfort,"Give specific, respectful feedback focused on the work",hard,hr
"A teammate is very confident, but their analysis has weak assumptions. What should you do?",Stay quiet because confidence usually wins,Question the assumptions respectfully and ask for evidence,Challenge them aggressively to reduce their confidence,Tell others privately instead of addressing it directly,Question the assumptions respectfully and ask for evidence,hard,hr
"Your team is under pressure, and morale is dropping. What action helps most?",Pretend nothing is wrong,"Acknowledge the pressure, simplify priorities, and support the team",Increase pressure further so people move faster,Focus only on metrics and not people,"Acknowledge the pressure, simplify priorities, and support the team",hard,hr
"A policy seems inefficient, but you are still required to follow it. What is the most professional stance?",Break it quietly if you know a better way,Follow it while proposing improvements through the right channel,Complain about it frequently to coworkers,Ignore tasks that depend on the policy,Follow it while proposing improvements through the right channel,hard,hr
You are working with incomplete data and must still make a recommendation. What is the best approach?,Refuse to recommend anything until data is perfect,"State assumptions clearly, estimate carefully, and note the risks",Guess confidently and avoid discussing uncertainty,Choose the option you personally like most,"State assumptions clearly, estimate carefully, and note the risks",hard,hr
A teammate asks for feedback on their presentation just before they deliver it. There is only time for one comment. What should you prioritize?,A small grammar issue on one slide,The highest-impact improvement that changes audience understanding,Your personal stylistic preference,A comment about their speaking voice only,The highest-impact improvement that changes audience understanding,hard,hr
"You realize your team is solving the symptom, not the root cause. What should you do?",Continue because the symptom matters now,Raise the distinction and suggest investigating the root cause,Stop all current work immediately,Wait until the issue returns to prove your point,Raise the distinction and suggest investigating the root cause,hard,hr
A person in authority makes a joke that makes others uncomfortable. What is the best response?,Laugh so the situation moves on,"Respond professionally, support respectful norms, and use the right channel if needed",Publicly insult them back,Ignore it even if it becomes a pattern,"Respond professionally, support respectful norms, and use the right channel if needed",hard,hr
Your project partner is talented but unreliable. What is the best working strategy?,Rely on them fully because talent matters most,Set clear checkpoints and reduce single-point dependency,Exclude them without discussion,Take no precautions and hope for the best,Set clear checkpoints and reduce single-point dependency,hard,hr
A customer asks a question whose answer may expose a weakness in your product. What is the best response?,Avoid the topic and redirect to strengths only,Answer honestly with context and show how the risk is managed,Deny the weakness completely,Say you are not allowed to discuss anything difficult,Answer honestly with context and show how the risk is managed,hard,hr
You are in a selection process and another candidate asks what questions were asked before their turn. What is the best action?,Tell them everything because it is friendly,Refuse politely if sharing would be unfair or against process rules,Tell them only the easy questions,Give hints in exchange for future help,Refuse politely if sharing would be unfair or against process rules,hard,hr
