question,option_1,option_2,option_3,option_4,answer,difficulty,type
What does the pass statement do?,Stops execution,Skips iteration,Does nothing,Raises error,Does nothing,easy,technical
What is the scope of a variable declared inside a function?,Global,Local,Static,Public,Local,easy,technical
Which method converts a string to lowercase?,lower(),down(),small(),case(),lower(),easy,technical
What does the // operator perform?,Division,Modulo,Floor division,Exponent,Floor division,moderate,technical
Which collection does not allow duplicate values?,List,Tuple,Set,Dictionary,Set,easy,technical
"What is the output of len({'a':1,'b':2})?",1,2,3,Error,2,easy,technical
Which pandas structure is two-dimensional?,Series,Array,DataFrame,Index,DataFrame,easy,technical
Which function is used to read Excel files in pandas?,read_excel(),read_xls(),load_excel(),open_excel(),read_excel(),easy,technical
What does df.tail() return?,First rows,Last rows,Random rows,Column names,Last rows,easy,technical
Which method is used to rename columns?,rename(),change(),map(),replace(),rename(),moderate,technical
What does inplace=True mean in pandas?,Returns copy,Deletes data,Modifies original,Raises error,Modifies original,moderate,technical
Which NumPy function generates evenly spaced values?,arange(),linspace(),range(),space(),linspace(),moderate,technical
What is the default data type of NumPy array elements?,int32,int64,float64,object,float64,moderate,technical
Which function changes array shape without copying data?,reshape(),resize(),flatten(),copy(),reshape(),moderate,technical
What does np.mean() compute?,Median,Mode,Average,Sum,Average,easy,technical
Which NumPy function stacks arrays vertically?,hstack(),vstack(),stack(),join(),vstack(),moderate,technical
Which SQL command is used to remove duplicate rows?,REMOVE,DISTINCT,UNIQUE,FILTER,DISTINCT,easy,technical
Which JOIN returns only matching rows?,LEFT JOIN,RIGHT JOIN,FULL JOIN,INNER JOIN,INNER JOIN,easy,technical
Which SQL function returns number of rows?,SUM(),COUNT(),TOTAL(),ROWS(),COUNT(),easy,technical
Which clause filters grouped data?,WHERE,GROUP BY,HAVING,ORDER BY,HAVING,moderate,technical
Which window function gives row numbers?,RANK(),DENSE_RANK(),ROW_NUMBER(),COUNT(),ROW_NUMBER(),moderate,technical
What does PARTITION BY do in window functions?,Filters rows,Groups rows logically,Sorts rows,Limits rows,Groups rows logically,hard,technical
Which SQL statement deletes table structure?,DELETE,TRUNCATE,DROP,REMOVE,DROP,easy,technical
Which keyword sorts result set?,SORT BY,ORDER BY,GROUP BY,ALIGN,ORDER BY,easy,technical
Which index type improves search speed?,Primary,Clustered,Non-clustered,Foreign,Clustered,hard,technical
Which SQL constraint ensures unique values?,PRIMARY KEY,FOREIGN KEY,UNIQUE,CHECK,UNIQUE,easy,technical
What is the output of print(type([])) in Python?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,<class 'list'>,easy,technical
Which keyword is used to handle exceptions in Python?,catch,handle,except,error,except,moderate,technical
Which pandas function is used to read a CSV file?,read_csv(),load_csv(),open_csv(),import_csv(),read_csv(),easy,technical
What does df.head() return?,Last 5 rows,First 5 rows,Random rows,Column names,First 5 rows,easy,technical
Which function is used to create an array in NumPy?,np.create(),np.array(),np.make(),np.list(),np.array(),moderate,technical
What does NumPy mainly improve in Python?,UI design,Database access,Numerical computation performance,File handling,Numerical computation performance,moderate,technical
Which SQL clause is used with window functions?,GROUP BY,OVER,WHERE,HAVING,OVER,easy,technical
Which window function assigns a unique rank without gaps?,RANK(),ROW_NUMBER(),DENSE_RANK(),COUNT(),ROW_NUMBER(),hard,technical
What is the output of: print(type({})) ?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,<class 'dict'>,easy,technical
Which keyword is used to create a generator in Python?,yield,return,gen,produce,yield,easy,technical
What does __init__() represent in a Python class?,Destructor,Constructor,Static method,Abstract method,Constructor,easy,technical
Which of the following is mutable in Python?,tuple,string,list,int,list,easy,technical
Which pandas method is used to remove duplicate rows?,drop(),drop_duplicates(),remove(),unique(),drop_duplicates(),easy,technical
What does df.shape return?,Number of columns,Number of rows,Rows and columns,Index range,Rows and columns,easy,technical
Which pandas function is used to apply a function row-wise?,map(),apply(),transform(),filter(),apply(),moderate,technical
What does df.isnull().sum() return?,Null count per column,Total null values,Boolean mask,Error,Null count per column,moderate,technical
Which NumPy function creates an array of zeros?,np.zero(),np.zeros(),np.empty(),np.null(),np.zeros(),easy,technical
What does numpy broadcasting allow?,Loop elimination,Shape mismatch operations,Parallel execution,Sorting,Shape mismatch operations,hard,technical
Which function is used to compute dot product in NumPy?,np.multiply(),np.dot(),np.sum(),np.cross(),np.dot(),moderate,technical
Which SQL window function assigns rank without gaps?,RANK(),ROW_NUMBER(),DENSE_RANK(),COUNT(),DENSE_RANK(),moderate,technical
Which clause is mandatory for window functions?,GROUP BY,OVER,WHERE,HAVING,OVER,easy,technical
Which SQL command removes all rows but keeps table structure?,DELETE,DROP,TRUNCATE,REMOVE,TRUNCATE,easy,technical
What is the output of print(type(())) in Python?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,<class 'tuple'>,easy,technical
Which keyword is used to define a function in Python?,function,define,def,fun,def,moderate,technical
What does len() return?,Memory size,Length of object,Data type,Index,Length of object,easy,technical
Which data type is immutable?,List,Set,Dictionary,Tuple,Tuple,easy,technical
Which function is used to display first 5 rows?,top(),first(),head(),sample(),head(),moderate,technical
Which pandas object is 1-dimensional?,DataFrame,Series,Panel,Array,Series,moderate,technical
What does dropna() do?,Fills missing values,Deletes columns,Removes missing values,Renames columns,Removes missing values,easy,technical
Which library is required for pandas?,Matplotlib,NumPy,SciPy,TensorFlow,NumPy,hard,technical
Which function creates an array?,np.create(),np.make(),np.array(),np.list(),np.array(),easy,technical
What does reshape() do?,Sorts array,Changes array shape,Deletes values,Copies array,Changes array shape,moderate,technical
NumPy is mainly used for?,Web apps,Numerical computation,File handling,Networking,Numerical computation,easy,technical
What is axis=0?,Row-wise operation,Column-wise operation,Diagonal,Random,Column-wise operation,easy,technical
Which function gives rank without gaps?,RANK(),ROW_NUMBER(),DENSE_RANK(),COUNT(),DENSE_RANK(),moderate,technical
Which SQL keyword removes duplicate rows?,UNIQUE,DISTINCT,REMOVE,FILTER,DISTINCT,easy,technical
Which join returns all matching and non-matching rows?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,FULL JOIN,hard,technical
What keyword is used to create a class in Python?,def,class,struct,object,class,easy,technical
What is the result of 3 ** 2 in Python?,6,9,5,Error,9,easy,technical
Which data structure follows LIFO principle?,Queue,Stack,Tree,Graph,Stack,easy,technical
What does the 'break' statement do?,Skips current iteration,Exits the loop,Restarts the loop,Does nothing,Exits the loop,easy,technical
What is a lambda function?,A named function,A loop,An anonymous function,A module,An anonymous function,moderate,technical
Which method adds an element to the end of a list?,insert(),add(),append(),extend(),append(),easy,technical
Which metric is used for regression problems?,Accuracy,F1-Score,Mean Squared Error,Confusion Matrix,Mean Squared Error,moderate,technical
What is the purpose of a validation set?,To train the model,To tune hyperparameters,To test final performance,To clean data,To tune hyperparameters,moderate,technical
Which of these is an unsupervised learning algorithm?,Decision Tree,Linear Regression,K-Means Clustering,Logistic Regression,K-Means Clustering,moderate,technical
What does 'precision' measure?,Total correct predictions,True Positives / Predicted Positives,True Positives / Actual Positives,True Negatives / Total,True Positives / Predicted Positives,hard,technical
Which operator checks for null values?,#NAME?,IS NULL,== NULL,NULL CHECK,IS NULL,easy,technical
What does the COUNT(*) function do?,Counts unique values,Counts non-null values,Counts all rows,Sums values,Counts all rows,easy,technical
Which command saves changes in a transaction?,SAVE,COMMIT,ROLLBACK,UPDATE,COMMIT,moderate,technical
How do you select the first 3 rows of a DataFrame?,df.head(3),df.top(3),df.rows(3),df.limit(3),df.head(3),easy,technical
Which function calculates the mean of an array?,np.average(),np.median(),np.mean(),np.mode(),np.mean(),easy,technical
What is the shape of a 3x3 matrix?,"(3,)","(9,)","(3, 3)",3,"(3, 3)",easy,technical
What is a python decorator?,A variable,A function that modifies another function,A class attribute,A loop type,A function that modifies another function,moderate,technical
What is the difference between list and tuple?,List is immutable,Tuple is mutable,"List is mutable, Tuple is immutable",No difference,"List is mutable, Tuple is immutable",easy,technical
What does the 'yield' keyword do?,Stops the function,Returns a generator,Deletes a variable,Imports a module,Returns a generator,moderate,technical
What is the Global Interpreter Lock (GIL)?,A lock on the database,A mutex that allows only one thread to execute,A file permission,A network protocol,A mutex that allows only one thread to execute,hard,technical
Which method converts a string to a list?,str(),split(),join(),strip(),split(),easy,technical
What is the 'vanishing gradient' problem?,Gradients become too large,Gradients become too small,Loss increases,Model overfits,Gradients become too small,hard,technical
Which regularization technique zeroes out coefficients?,L1 (Lasso),L2 (Ridge),Dropout,Batch Normalization,L1 (Lasso),moderate,technical
What is the purpose of an activation function?,To initialize weights,To introduce non-linearity,To calculate error,To normalize data,To introduce non-linearity,moderate,technical
Which algorithm is best for text classification?,K-Means,Naive Bayes,Linear Regression,PCA,Naive Bayes,moderate,technical
What does a confusion matrix show?,Model accuracy only,True/False Positives/Negatives,Training time,Feature importance,True/False Positives/Negatives,easy,technical
Difference between UNION and UNION ALL?,UNION removes duplicates,UNION ALL removes duplicates,They are identical,UNION is faster,UNION removes duplicates,moderate,technical
What is a Self Join?,Joining a table with another table,Joining a table with itself,Joining two databases,Deleting a table,Joining a table with itself,moderate,technical
Which key uniquely identifies a record?,Foreign Key,Primary Key,Super Key,Candidate Key,Primary Key,easy,technical
What is the order of execution in SQL?,SELECT -> FROM -> WHERE,FROM -> WHERE -> SELECT,WHERE -> FROM -> SELECT,SELECT -> WHERE -> FROM,FROM -> WHERE -> SELECT,moderate,technical
Which function removes leading/trailing spaces?,TRIM(),CUT(),STRIP(),CLEAN(),TRIM(),easy,technical
Difference between loc and iloc?,"loc is label-based, iloc is integer-based","loc is integer-based, iloc is label-based",Both are label-based,Both are integer-based,"loc is label-based, iloc is integer-based",moderate,technical
How to handle missing data in Pandas?,df.ignore(),df.fillna(),df.empty(),df.miss(),df.fillna(),easy,technical
What is One-Hot Encoding?,Converting text to upper case,Converting categorical data to binary vectors,Compressing data,Sorting data,Converting categorical data to binary vectors,moderate,technical
What is a p-value?,Probability of null hypothesis being true,Probability of alternative hypothesis,The error rate,The accuracy score,Probability of null hypothesis being true,hard,technical
Which plot is best for distribution of a single variable?,Scatter Plot,Histogram,Heatmap,Line Chart,Histogram,easy,technical
What is the time complexity of binary search?,O(n),O(log n),O(n^2),O(1),O(log n),moderate,technical
Which data structure uses FIFO?,Stack,Queue,Tree,Graph,Queue,easy,technical
What is a hash map used for?,Sorting data,Key-value storage,Sequential access,Tree traversal,Key-value storage,easy,technical
What is recursion?,A loop,A function calling itself,A database query,An error,A function calling itself,moderate,technical
Which sorting algorithm is generally fastest?,Bubble Sort,Quick Sort,Selection Sort,Insertion Sort,Quick Sort,moderate,technical
What is a generator in Python?,A list,A function that returns an iterator,A class,A module,A function that returns an iterator,moderate,technical
What does __init__ do?,Initializes a class,Deletes a class,Imports a library,Starts a loop,Initializes a class,easy,technical
What is the difference between shallow and deep copy?,"Shallow copies references, deep copies objects","Deep copies references, shallow copies objects",No difference,Shallow is faster,"Shallow copies references, deep copies objects",hard,technical
What is a context manager?,Manages memory,Manages resources like files,Manages threads,Manages network,Manages resources like files,moderate,technical
What is the purpose of the 'with' statement?,Exception handling,Resource management,Looping,Condition checking,Resource management,easy,technical
What is a CNN used for?,Text processing,Image processing,Audio processing,Tabular data,Image processing,moderate,technical
What is an RNN used for?,Image classification,Sequential data,Clustering,Regression,Sequential data,moderate,technical
What is Transfer Learning?,Training from scratch,Using a pre-trained model,Transferring data,Sharing code,Using a pre-trained model,moderate,technical
What is Word2Vec?,A clustering algorithm,A word embedding technique,A classification model,A regression model,A word embedding technique,hard,technical
What is BERT?,A person,A language model,A database,A framework,A language model,moderate,technical
What is a foreign key?,A key in another table,A primary key in another table,A unique key,A null key,A primary key in another table,easy,technical
What is normalization?,Adding redundancy,Reducing redundancy,Deleting data,Sorting data,Reducing redundancy,moderate,technical
What is an index in a database?,A list of tables,A data structure to speed up retrieval,A backup,A user permission,A data structure to speed up retrieval,moderate,technical
What is ACID properties?,"Atomicity, Consistency, Isolation, Durability","Accuracy, Consistency, Integrity, Data","Access, Control, Information, Data","Analysis, Design, Implementation, Code","Atomicity, Consistency, Isolation, Durability",hard,technical
What is a view?,A virtual table,A physical table,A backup,A log,A virtual table,easy,technical
What is polymorphism?,Multiple forms,Single form,Data hiding,Inheritance,Multiple forms,moderate,technical
What is encapsulation?,Bundling data and methods,Separating data and methods,Deleting data,Sharing data,Bundling data and methods,moderate,technical
What is inheritance?,Creating new class from existing,Deleting a class,Copying a class,Hiding a class,Creating new class from existing,easy,technical
Which Python keyword is used to create an anonymous function?,lambda,yield,def,func,lambda,easy,technical
What is the output type of {'a': 1}.keys() in Python 3?,list,tuple,dict_keys,set,dict_keys,medium,technical
Which data type is immutable in Python?,list,set,dictionary,tuple,tuple,easy,technical
What does the len() function return?,Data type of object,Memory address,Number of items in an object,Maximum value in object,Number of items in an object,easy,technical
Which statement is used to handle exceptions in Python?,if-else,switch,try-except,for-while,try-except,easy,technical
What does the pass statement do in Python?,Stops the loop,Skips current iteration,Does nothing,Raises an error,Does nothing,easy,technical
Which function is used to get the type of a variable in Python?,kind(),class(),typeof(),type(),type(),easy,technical
"What will list(range(2, 8, 2)) return?","[2, 4, 6]","[2, 4, 6, 8]","[2, 3, 4, 5, 6, 7]","[1, 3, 5, 7]","[2, 4, 6]",easy,technical
Which method adds a single element at the end of a list?,append(),extend(),insertall(),push(),append(),easy,technical
Which method is used to remove and return the last list item by default?,delete(),remove(),pop(),discard(),pop(),easy,technical
What is returned by the expression 10 // 3 in Python?,3.33,3,4,1,3,easy,technical
Which operator is used for exponentiation in Python?,^,**,//,%%,**,easy,technical
What is the correct file mode to append data to a text file?,r,w,a,x,a,easy,technical
Which keyword allows a function to return values one at a time?,yield,return,pass,break,yield,medium,technical
A function that contains yield is called what?,decorator,generator,iterator class,lambda,generator,medium,technical
Which built-in function applies another function to every item of an iterable?,filter(),map(),reduce(),zip(),map(),medium,technical
Which built-in function keeps only items that satisfy a condition?,map(),sorted(),filter(),enumerate(),filter(),medium,technical
"What does zip([1,2], ['a','b']) produce?","[(1, 'a'), (2, 'b')]","[1, 2, 'a', 'b']","{'1':'a','2':'b'}","[(1,2), ('a','b')]","[(1, 'a'), (2, 'b')]",medium,technical
Which function returns both index and value while looping?,zip(),range(),enumerate(),index(),enumerate(),easy,technical
What is the main purpose of a Python decorator?,Store data in files,Modify or extend function behavior,Create classes only,Convert list to tuple,Modify or extend function behavior,medium,technical
Which statement about Python lists and tuples is correct?,"Lists are immutable, tuples are mutable",Both are immutable,"Lists are mutable, tuples are immutable",Both are sets,"Lists are mutable, tuples are immutable",easy,technical
Which keyword is used inside a class constructor in Python?,this,self,super,cls,self,easy,technical
What is the constructor method name in Python classes?,__start__,__create__,__init__,__newclass__,__init__,easy,technical
Which concept lets one class acquire properties and methods of another class?,Encapsulation,Inheritance,Abstraction,Compilation,Inheritance,easy,technical
What does super() help you access in Python?,Previous loop value,Parent class methods,Global variables only,Private package files,Parent class methods,medium,technical
Which dunder method is used to give a readable string representation of an object?,__len__,__repr__,__str__,__call__,__str__,medium,technical
Which collection automatically stores unique values only?,list,tuple,set,string,set,easy,technical
Which dictionary method safely returns a value without throwing KeyError when the key is absent?,fetch(),get(),read(),find(),get(),easy,technical
What is the main use of *args in a Python function?,Accept variable positional arguments,Accept only keyword arguments,Import all modules,Create pointers,Accept variable positional arguments,medium,technical
What is the main use of **kwargs in a Python function?,Accept variable keyword arguments,Create dictionaries automatically,Repeat loop twice,Define private variables,Accept variable keyword arguments,medium,technical
Which module is commonly used to work with regular expressions in Python?,regexx,re,pattern,matchlib,re,easy,technical
What is the result of bool('') in Python?,TRUE,FALSE,Zero,Error,FALSE,easy,technical
Which statement correctly compares two values for equality in Python?,x = y,x === y,x == y,"equal(x,y)",x == y,easy,technical
Which clause is used to sort query results in SQL?,GROUP BY,ORDER BY,SORT BY,RANK BY,ORDER BY,easy,technical
Which SQL function returns the total number of rows?,SUM(),TOTAL(),COUNT(),NUMBER(),COUNT(),easy,technical
Which join returns matching rows from both tables only?,LEFT JOIN,RIGHT JOIN,FULL JOIN,INNER JOIN,INNER JOIN,easy,technical
Which keyword removes duplicate rows from a SQL result?,UNIQUE,DISTINCT,DIFFERENT,SEPARATE,DISTINCT,easy,technical
Which SQL clause filters groups after aggregation?,WHERE,ORDER BY,HAVING,LIMIT,HAVING,medium,technical
Which window function assigns consecutive row numbers within an ordered partition?,RANK(),ROW_NUMBER(),DENSE_RANK(),COUNT(),ROW_NUMBER(),medium,technical
Which window function gives the same rank to ties and skips the next rank values?,ROW_NUMBER(),RANK(),DENSE_RANK(),NTILE(),RANK(),medium,technical
Which window function gives the same rank to ties without skipping rank values?,DENSE_RANK(),RANK(),ROW_NUMBER(),LAG(),DENSE_RANK(),medium,technical
What does LAG() do in a SQL window function?,Reads the next row value,Reads the previous row value,Counts partitions,Deletes duplicates,Reads the previous row value,medium,technical
What does LEAD() do in a SQL window function?,Reads the previous row value,Sorts rows descending,Reads the next row value,Finds null values,Reads the next row value,medium,technical
Which clause inside OVER() is used to divide rows into groups for a window function?,SECTION BY,PARTITION BY,GROUP BY,SPLIT BY,PARTITION BY,medium,technical
Which clause inside OVER() is used to define the order for a window function?,SORT BY,GROUP BY,ORDER BY,ALIGN BY,ORDER BY,medium,technical
Which SQL keyword is typically used to limit the number of returned rows?,TOPONLY,LIMIT,RESTRICT,ROWCOUNT,LIMIT,easy,technical
What is the purpose of a Common Table Expression in SQL?,Compress tables,Create temporary result sets for a query,Backup a database,Delete duplicates permanently,Create temporary result sets for a query,medium,technical
Which SQL function replaces NULL with a specified value in many databases?,COALESCE(),FILLNULL(),REPLACE_NULL(),IFEMPTY(),COALESCE(),medium,technical
Which type of neural network is especially effective for image data?,RNN,CNN,Naive Bayes,KNN,CNN,easy,technical
Which type of neural network is commonly used for sequence data?,CNN,Decision Tree,RNN,K-Means,RNN,easy,technical
What is the role of an activation function in a neural network?,Store dataset,Introduce non-linearity,Reduce file size,Shuffle rows,Introduce non-linearity,easy,technical
Which activation function is most commonly used in hidden layers of deep networks?,ReLU,Step,Mean,Argmax,ReLU,medium,technical
Which activation function is commonly used in the output layer for binary classification?,ReLU,Sigmoid,Softplus,Identity,Sigmoid,medium,technical
Which activation function is commonly used in the output layer for multi-class classification?,Softmax,Tanh,ReLU,ELU,Softmax,medium,technical
What is backpropagation used for?,To split the dataset,To update weights using gradients,To generate labels,To visualize data,To update weights using gradients,medium,technical
What is an epoch in deep learning?,One neuron,One full pass through the training data,One hidden layer,One test prediction,One full pass through the training data,easy,technical
What does batch size refer to in training?,Number of model layers,Number of samples processed before updating weights,Total number of features,Validation split percentage,Number of samples processed before updating weights,medium,technical
Which optimizer adapts the learning rate for each parameter and is very commonly used?,BFS,Adam,KNN,Apriori,Adam,medium,technical
What problem does dropout mainly help reduce?,Underflow,Overfitting,Tokenization,Sorting,Overfitting,medium,technical
What is overfitting in a model?,Model performs well on training data but poorly on new data,Model has too little data,Model uses too few columns,Model always predicts the mean,Model performs well on training data but poorly on new data,easy,technical
What is underfitting in a model?,Model memorizes noise,Model fails to learn important patterns,Model uses GPU,Model has too many layers only,Model fails to learn important patterns,easy,technical
Which layer type is usually used to reduce spatial dimensions in CNNs?,Pooling layer,Embedding layer,Dropout layer,Normalization layer,Pooling layer,medium,technical
Which recurrent unit was designed to better handle long-term dependencies than vanilla RNNs?,LSTM,PCA,SVM,DBSCAN,LSTM,medium,technical
What is the vanishing gradient problem?,"Gradients become too small in deep networks, slowing learning",All weights become zero instantly,The dataset loses labels,GPU memory becomes full,"Gradients become too small in deep networks, slowing learning",hard,technical
What is batch normalization mainly used for?,Encrypt data,Normalize activations to stabilize training,Generate labels,Join tables,Normalize activations to stabilize training,hard,technical
What does a convolutional filter learn in a CNN?,SQL joins,Local patterns such as edges or textures,Only output labels,Sorting rules,Local patterns such as edges or textures,medium,technical
Which loss function is commonly used for binary classification in deep learning?,Mean Absolute Error,Binary Cross-Entropy,Huber Loss,Cosine Similarity,Binary Cross-Entropy,medium,technical
Which loss function is commonly used for regression tasks in neural networks?,Categorical Cross-Entropy,Mean Squared Error,Binary Cross-Entropy,Hinge Loss,Mean Squared Error,medium,technical
Which hardware is most commonly used to accelerate deep learning training?,GPU,Printer,Router,Keyboard,GPU,easy,technical
Which pandas function is commonly used to read a CSV file?,pd.open_csv(),pd.read_csv(),pd.load_csv(),pd.csv_read(),pd.read_csv(),easy,technical
Which pandas method shows the first 5 rows by default?,start(),top(),head(),front(),head(),easy,technical
Which pandas method shows summary info about columns and dtypes?,describe(),info(),shape(),summary(),info(),easy,technical
Which pandas method is commonly used to fill missing values?,replace_null(),fillna(),dropempty(),setna(),fillna(),easy,technical
Which pandas method removes rows with missing values?,remove_na(),fillna(),dropna(),delna(),dropna(),easy,technical
Which NumPy object is the core n-dimensional array structure?,DataFrame,Series,ndarray,MatrixList,ndarray,easy,technical
Which library is mainly used for numerical computing in Python?,NumPy,Flask,BeautifulSoup,Tkinter,NumPy,easy,technical
What is the purpose of train_test_split in scikit-learn?,To visualize data,To split data into training and testing sets,To normalize strings,To deploy models,To split data into training and testing sets,easy,technical
Why is feature scaling often applied before distance-based algorithms like KNN?,To add new features,To make features contribute on similar scales,To remove labels,To convert classification into regression,To make features contribute on similar scales,medium,technical
Which metric is especially useful when classes are imbalanced?,Accuracy alone,Precision and recall,Dataset size,Row number,Precision and recall,medium,technical
What does a confusion matrix summarize?,Training time only,Correct and incorrect predictions by class,Feature scaling values,Database schema,Correct and incorrect predictions by class,medium,technical
Which Git command downloads commits from a remote repository without merging them automatically?,git pull,git fetch,git merge,git push,git fetch,medium,technical
Which Git command creates a new local branch and switches to it in one step?,git branch -d new_branch,git checkout -b new_branch,git merge new_branch,git init new_branch,git checkout -b new_branch,medium,technical
Which command uploads local commits to a remote repository?,git push,git add,git fetch,git clone,git push,easy,technical
What is the purpose of a virtual environment in Python?,To overclock the CPU,To isolate project dependencies,To compile C code,To create database tables,To isolate project dependencies,medium,technical
Which command installs packages from a requirements file?,pip install requirements.txt,pip install -r requirements.txt,python requirements.txt,pip add requirements.txt,pip install -r requirements.txt,easy,technical
Which HTTP method is commonly used to retrieve data from an API?,GET,POST,DELETE,PATCH,GET,easy,technical
Which HTTP method is commonly used to create a new resource in an API?,GET,POST,TRACE,HEAD,POST,easy,technical
What does JSON stand for?,Java Source Object Notation,JavaScript Object Notation,Joined Standard Output Network,Java Syntax Open Network,JavaScript Object Notation,easy,technical
Which operating system concept allows multiple programs to appear to run at the same time?,Fragmentation,Multitasking,Defragmentation,Formatting,Multitasking,easy,technical
Which scheduling algorithm gives CPU time in fixed time slices?,FCFS,Round Robin,Priority only,Greedy Search,Round Robin,medium,technical
What is a process in an operating system?,A program in execution,A hardware cable,A database key,A type of compiler only,A program in execution,easy,technical
What is a thread in an operating system?,A lightweight unit of execution within a process,A full operating system,A hardware disk,A type of network cable,A lightweight unit of execution within a process,medium,technical
What does RAM primarily provide to a running program?,Permanent storage,Temporary working memory,Internet access,GPU rendering only,Temporary working memory,easy,technical
Which data structure follows First In First Out order?,Stack,Queue,Tree,Graph,Queue,easy,technical
Which data structure follows Last In First Out order?,Queue,Heap,Stack,Hash map,Stack,easy,technical
Which technique reuses knowledge from a source task to improve learning on a related target task?,Bagging,Transfer learning,One-hot encoding,Bootstrapping,Transfer learning,medium,technical
Which pandas attribute gives the number of rows and columns in a DataFrame?,size,shape,count,columns,shape,easy,technical
